2017-04-12 03:07:35 startup archives install
2017-04-12 03:07:35 install base-passwd:amd64 <none> 3.5.43
2017-04-12 03:07:35 status half-installed base-passwd:amd64 3.5.43
2017-04-12 03:07:35 status unpacked base-passwd:amd64 3.5.43
2017-04-12 03:07:35 status unpacked base-passwd:amd64 3.5.43
2017-04-12 03:07:35 configure base-passwd:amd64 3.5.43 3.5.43
2017-04-12 03:07:35 status unpacked base-passwd:amd64 3.5.43
2017-04-12 03:07:35 status half-configured base-passwd:amd64 3.5.43
2017-04-12 03:07:35 status installed base-passwd:amd64 3.5.43
2017-04-12 03:07:35 startup archives install
2017-04-12 03:07:35 install base-files:amd64 <none> 9.6ubuntu13
2017-04-12 03:07:35 status half-installed base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 configure base-files:amd64 9.6ubuntu13 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status unpacked base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status half-configured base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 status installed base-files:amd64 9.6ubuntu13
2017-04-12 03:07:35 startup archives install
2017-04-12 03:07:35 upgrade dpkg 1.18.10ubuntu2 1.18.10ubuntu2
2017-04-12 03:07:35 status half-configured dpkg 1.18.10ubuntu2
2017-04-12 03:07:35 status unpacked dpkg 1.18.10ubuntu2
2017-04-12 03:07:35 status half-installed dpkg 1.18.10ubuntu2
2017-04-12 03:07:36 status half-installed dpkg 1.18.10ubuntu2
2017-04-12 03:07:36 status unpacked dpkg:amd64 1.18.10ubuntu2
